Code,Name,Method,Date,Conc0,Conc40,Conc96
A,Амомум плотный,0,14.05.2018,213.34,228.25,103.2
B,Бамбуза,0,14.05.2018,117.21,102.29,93.12
C,Воробейник,0,14.05.2018,119.21,187.03,125.82
D,Гардения,0,17.05.2018,671.81,367.63,558.46
E,Гвоздика,0,17.05.2018,503.9,539.03,265.12
F,Гречавка шероховатая,0,04.05.2018,270.41,222.05,126.15
G,Дудник китайский,0,28.04.2018,331.39,288.32,150.29
H,Кендырь синеватый,0,17.05.2018,1054.68,1193.14,489.64
I,Лимонник китайский,0,28.04.2018,98.32,77.11,57.39
J,Плод Мелии,0,14.05.2018,328.32,225.04,219.78
K,Пория Кокосовидная,0,04.05.2018,69.48,39.64,28.7
L,Роза морщинистая,0,17.05.2018,4722.48,5863.13,2185.09
M,Сафлор красильный,0,17.05.2018,1636.52,1659.69,929.95
N,Солодка уральская,0,04.05.2018,371.98,1207.18,922.36
O,Сосапариль голая,0,14.05.2018,1026.27,1667.14,1336.97
P,Форзиция подвешенная,0,04.05.2018,1332.39,1386.63,1203.27
Q,Цветы хризантемы,0,04.05.2018,454.21,679.29,672.67
R,Цедра мандарина,0,17.05.2018,1404.27,541.44,4486.05
S,Шлемник байкальский,0,04.05.2018,953,3836.21,2987.57
T,Ямс китайский,0,14.05.2018,101.6,96.07,89.82
